epoch,class_accuracy,class_loss,loss,ordinal_accuracy,ordinal_loss,val_class_accuracy,val_class_loss,val_loss,val_ordinal_accuracy,val_ordinal_loss
0,0.6000000238418579,0.3485024869441986,4.3533806800842285,0.0,4.179129600524902,0.20000000298023224,0.34452682733535767,4.328339576721191,0.0,4.156075954437256
1,0.6000000238418579,0.29683512449264526,3.7837493419647217,0.0,3.6353321075439453,0.20000000298023224,0.33997663855552673,4.30735969543457,0.0,4.13737154006958
2,0.800000011920929,0.267625629901886,3.066617488861084,0.0,2.932804584503174,0.800000011920929,0.3331482410430908,4.266866683959961,0.0,4.100292682647705
3,0.800000011920929,0.16557374596595764,2.0913608074188232,0.0,2.0085740089416504,0.800000011920929,0.3261876702308655,4.220439434051514,0.0,4.057345390319824
4,0.800000011920929,0.16258378326892853,1.1740764379501343,0.0,1.0927845239639282,0.800000011920929,0.3204335868358612,4.1695475578308105,0.0,4.009330749511719
5,0.800000011920929,0.09309186786413193,0.8393310308456421,0.0,0.792785108089447,0.800000011920929,0.31488561630249023,4.116832733154297,0.0,3.9593899250030518
6,0.800000011920929,0.10514557361602783,0.386753112077713,0.0,0.3341803252696991,0.800000011920929,0.3090565502643585,4.061451435089111,0.0,3.906923294067383
7,0.800000011920929,0.15390309691429138,0.27975186705589294,0.0,0.20280031859874725,0.800000011920929,0.30245742201805115,4.000545024871826,0.0,3.849316358566284
8,0.800000011920929,0.15252311527729034,0.2021285593509674,0.0,0.12586700916290283,0.800000011920929,0.2942696213722229,3.919694185256958,0.0,3.772559404373169
9,0.800000011920929,0.10550787299871445,0.12444009631872177,0.0,0.07168617099523544,0.800000011920929,0.28771644830703735,3.831998348236084,0.0,3.688140392303467
10,0.800000011920929,0.07563187181949615,0.05753669887781143,0.0,0.019720759242773056,0.800000011920929,0.28208526968955994,3.740431547164917,0.0,3.599388837814331
11,1.0,0.0010581683600321412,0.02588767744600773,0.0,0.025358593091368675,0.800000011920929,0.276667058467865,3.654104709625244,0.0,3.5157711505889893
12,1.0,0.010150013491511345,0.027369871735572815,0.0,0.022294864058494568,0.800000011920929,0.27095332741737366,3.5684103965759277,0.0,3.432933807373047
13,1.0,0.0029025771655142307,0.012636792846024036,0.0,0.011185504496097565,0.800000011920929,0.26509547233581543,3.479464054107666,0.0,3.3469161987304688
14,1.0,0.00045084714656695724,0.0045905583538115025,0.0,0.004365134984254837,0.800000011920929,0.2597948908805847,3.387882947921753,0.0,3.2579855918884277
15,1.0,0.002252554288133979,0.009091381914913654,0.0,0.007965104654431343,0.800000011920929,0.2533867359161377,3.281378984451294,0.0,3.1546854972839355
16,1.0,1.2079928637831472e-05,0.001866817707195878,0.0,0.0018607776146382093,0.800000011920929,0.2470897138118744,3.1679399013519287,0.0,3.0443949699401855
17,1.0,0.00013697832764592022,0.0015696443151682615,0.0,0.0015011552022770047,0.800000011920929,0.24077263474464417,3.0511820316314697,0.0,2.930795669555664
18,1.0,2.7531557861948386e-05,0.0008294760482385755,0.0,0.000815710227470845,0.800000011920929,0.23433223366737366,2.932826042175293,0.0,2.815659999847412
19,1.0,0.00010494571324670687,0.0009817780228331685,0.0,0.0009293051552958786,0.800000011920929,0.22803840041160583,2.8121790885925293,0.0,2.69815993309021
20,1.0,3.225293039577082e-05,0.0002752004947979003,0.0,0.0002590740332379937,0.800000011920929,0.22228999435901642,2.6958718299865723,0.0,2.5847268104553223
21,1.0,1.1867312423419207e-05,0.002090323716402054,0.0,0.002084390027448535,0.800000011920929,0.21678772568702698,2.586550712585449,0.0,2.478156805038452
