epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,1.564129114151001,1.6069241762161255
1,9.999999747378752e-06,1.5756081342697144,1.6069532632827759
2,9.999999747378752e-06,1.5724351406097412,1.6073353290557861
3,9.999999747378752e-06,1.5721819400787354,1.6073007583618164
4,9.999999747378752e-06,1.5758516788482666,1.6072490215301514
5,2.9999998787388904e-06,1.5655437707901,1.6073375940322876
6,2.9999998787388904e-06,1.5651026964187622,1.6073580980300903
7,2.9999998787388904e-06,1.5623098611831665,1.607409119606018
8,2.9999998787388904e-06,1.5747909545898438,1.6075717210769653
9,8.999999749903509e-07,1.5732989311218262,1.6075773239135742
10,8.999999749903509e-07,1.5690714120864868,1.6075551509857178
11,8.999999749903509e-07,1.5745311975479126,1.6075905561447144
12,8.999999749903509e-07,1.573492407798767,1.607620358467102
