epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,1.6084318161010742,1.6071573495864868
1,9.999999747378752e-06,1.608085036277771,1.607075572013855
2,9.999999747378752e-06,1.6082146167755127,1.6074366569519043
3,9.999999747378752e-06,1.6070094108581543,1.6079788208007812
4,9.999999747378752e-06,1.6069421768188477,1.6080923080444336
5,2.9999998787388904e-06,1.61090886592865,1.6080693006515503
6,2.9999998787388904e-06,1.6082490682601929,1.6080694198608398
7,2.9999998787388904e-06,1.6124831438064575,1.6080323457717896
8,2.9999998787388904e-06,1.610417366027832,1.6080408096313477
9,8.999999749903509e-07,1.6145589351654053,1.6080776453018188
10,8.999999749903509e-07,1.609133243560791,1.6080598831176758
11,8.999999749903509e-07,1.615139126777649,1.6080902814865112
12,8.999999749903509e-07,1.617859959602356,1.6081010103225708
13,2.699999868127634e-07,1.6114094257354736,1.6081104278564453
