epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,0.6075850129127502,0.6142320036888123
1,9.999999747378752e-06,0.5911870002746582,0.6139657497406006
2,9.999999747378752e-06,0.5786888599395752,0.6137193441390991
3,9.999999747378752e-06,0.5994775295257568,0.6135088205337524
4,9.999999747378752e-06,0.5872119665145874,0.6132789850234985
5,9.999999747378752e-06,0.5898136496543884,0.6130453944206238
6,9.999999747378752e-06,0.5919327139854431,0.6128040552139282
7,9.999999747378752e-06,0.5889596939086914,0.6125708818435669
8,9.999999747378752e-06,0.579100489616394,0.6123379468917847
9,9.999999747378752e-06,0.5935987830162048,0.6121081709861755
10,9.999999747378752e-06,0.592241644859314,0.6118708848953247
11,9.999999747378752e-06,0.5884150266647339,0.6116427779197693
12,9.999999747378752e-06,0.5960639715194702,0.6114150285720825
13,9.999999747378752e-06,0.5835320949554443,0.6111882925033569
14,9.999999747378752e-06,0.5855793952941895,0.610960841178894
15,9.999999747378752e-06,0.5847628116607666,0.6107402443885803
16,9.999999747378752e-06,0.5759669542312622,0.6105221509933472
17,9.999999747378752e-06,0.5898823142051697,0.6103251576423645
18,9.999999747378752e-06,0.5729255080223083,0.6101235151290894
19,9.999999747378752e-06,0.5933546423912048,0.6099364757537842
20,9.999999747378752e-06,0.5835739374160767,0.6097314357757568
21,9.999999747378752e-06,0.5827677845954895,0.6095495820045471
22,9.999999747378752e-06,0.577977180480957,0.6093641519546509
23,9.999999747378752e-06,0.574772298336029,0.6091722846031189
24,9.999999747378752e-06,0.5813044309616089,0.6089698076248169
25,9.999999747378752e-06,0.5812398791313171,0.6087786555290222
26,9.999999747378752e-06,0.576431155204773,0.6085768938064575
27,9.999999747378752e-06,0.5999811291694641,0.6083818674087524
28,9.999999747378752e-06,0.5748263001441956,0.6081973910331726
29,9.999999747378752e-06,0.5789370536804199,0.6080186367034912
