epoch,learning_rate,loss,val_loss
0,9.999999747378752e-06,1.6095820665359497,1.6082110404968262
1,9.999999747378752e-06,1.6087428331375122,1.608188509941101
2,9.999999747378752e-06,1.6099510192871094,1.6081618070602417
3,9.999999747378752e-06,1.6112229824066162,1.608116626739502
4,9.999999747378752e-06,1.611659049987793,1.6080080270767212
5,9.999999747378752e-06,1.611184000968933,1.6080397367477417
6,9.999999747378752e-06,1.6101981401443481,1.6082316637039185
7,9.999999747378752e-06,1.6097172498703003,1.6082148551940918
8,9.999999747378752e-06,1.610208511352539,1.6082963943481445
9,2.9999998787388904e-06,1.6097478866577148,1.6082497835159302
10,2.9999998787388904e-06,1.6109251976013184,1.608271598815918
11,2.9999998787388904e-06,1.6098536252975464,1.6082435846328735
12,2.9999998787388904e-06,1.6115643978118896,1.6082501411437988
13,8.999999749903509e-07,1.6088899374008179,1.6082700490951538
14,8.999999749903509e-07,1.6109733581542969,1.6082640886306763
15,8.999999749903509e-07,1.6124496459960938,1.6082602739334106
16,8.999999749903509e-07,1.6129440069198608,1.608266830444336
