epoch,class_accuracy,class_loss,loss,ordinal_accuracy,ordinal_loss,val_class_accuracy,val_class_loss,val_loss,val_ordinal_accuracy,val_ordinal_loss
0,0.1428571492433548,0.3884981572628021,4.589430809020996,0.095238097012043,4.395181655883789,0.0,0.3806266486644745,4.41895055770874,0.0,4.228637218475342
1,0.2380952388048172,0.36893993616104126,4.510473728179932,0.095238097012043,4.326003551483154,0.0,0.38077208399772644,4.420040607452393,0.0,4.229654788970947
2,0.2857142984867096,0.39907360076904297,4.5590620040893555,0.095238097012043,4.359525203704834,0.0,0.38103199005126953,4.424317359924316,0.0,4.233801364898682
3,0.0476190485060215,0.43705323338508606,4.554636001586914,0.0476190485060215,4.336109161376953,0.0,0.38138070702552795,4.42503023147583,0.0,4.234339714050293
4,0.0476190485060215,0.38233479857444763,4.510051250457764,0.0476190485060215,4.318883895874023,0.0,0.3815074861049652,4.427167892456055,0.0,4.236413955688477
5,0.095238097012043,0.4045693874359131,4.5476155281066895,0.0,4.345330715179443,0.0,0.3766944408416748,4.3938140869140625,0.0,4.2054667472839355
6,0.2380952388048172,0.3521372377872467,3.209019899368286,0.0476190485060215,3.032951593399048,0.0,0.3725481331348419,4.355504512786865,0.0,4.1692304611206055
7,0.095238097012043,0.3733866810798645,2.2087061405181885,0.0,2.022012710571289,0.0,0.3701503872871399,4.257110595703125,0.0,4.072035312652588
8,0.1428571492433548,0.39006486535072327,1.8840742111206055,0.0,1.6890417337417603,0.0,0.3654496669769287,4.055661678314209,0.0,3.872936725616455
9,0.380952388048172,0.2669096291065216,1.3644475936889648,0.0,1.2309927940368652,0.2857142984867096,0.35741153359413147,3.763032913208008,0.0,3.584327220916748
10,0.523809552192688,0.19485746324062347,0.9493899345397949,0.0,0.8519612550735474,0.2857142984867096,0.34979572892189026,3.501002788543701,0.0,3.3261048793792725
11,0.6666666865348816,0.13207542896270752,0.8070641756057739,0.0,0.7410264015197754,0.2857142984867096,0.34348443150520325,3.288355588912964,0.0,3.1166136264801025
12,0.523809552192688,0.16031968593597412,0.5803661346435547,0.0,0.5002062916755676,0.2857142984867096,0.343720018863678,3.1324918270111084,0.0,2.960631847381592
13,0.6666666865348816,0.10063845664262772,0.444429486989975,0.0,0.3941102623939514,0.2857142984867096,0.33998653292655945,2.9504287242889404,0.0,2.780435562133789
14,0.7142857313156128,0.08819408714771271,0.3321634531021118,0.0,0.28806641697883606,0.2857142984867096,0.33520451188087463,2.826932191848755,0.0,2.659329891204834
15,0.6190476417541504,0.11369334161281586,0.296669602394104,0.0,0.23982293903827667,0.2857142984867096,0.3354790210723877,2.700654983520508,0.0,2.5329153537750244
16,0.6190476417541504,0.08170006424188614,0.16270020604133606,0.0,0.12185017019510269,0.2857142984867096,0.34233856201171875,2.6634368896484375,0.0,2.492267608642578
17,0.6666666865348816,0.10655516386032104,0.14063593745231628,0.0,0.08735835552215576,0.2857142984867096,0.3583633303642273,2.7117857933044434,0.0,2.532604217529297
18,0.8095238208770752,0.06528512388467789,0.09281544387340546,0.0,0.06017288193106651,0.2857142984867096,0.392257422208786,2.826368808746338,0.0,2.6302402019500732
19,0.7142857313156128,0.09621100127696991,0.08564241230487823,0.0,0.03753691166639328,0.2857142984867096,0.4317067563533783,2.9457437992095947,0.0,2.7298903465270996
20,0.9523809552192688,0.016658801585435867,0.0690382570028305,0.0,0.06070885807275772,0.2857142984867096,0.47768449783325195,3.246178388595581,0.0,3.007336139678955
21,0.9523809552192688,0.023460445925593376,0.05322287604212761,0.0,0.041492655873298645,0.2857142984867096,0.5209963321685791,3.591524124145508,0.0,3.331026077270508
22,0.9047619104385376,0.023876851424574852,0.027026185765862465,0.0,0.015087759122252464,0.2857142984867096,0.5869212746620178,4.003300666809082,0.0,3.7098400592803955
23,0.9523809552192688,0.006036671809852123,0.020911624655127525,0.0,0.017893288284540176,0.2857142984867096,0.6230311989784241,4.382889270782471,0.0,4.071373462677002
24,0.9047619104385376,0.02487514726817608,0.026619305834174156,0.0,0.014181733131408691,0.2857142984867096,0.6939353346824646,4.8455305099487305,0.0,4.498562812805176
25,1.0,0.0015895386459305882,0.01367981918156147,0.0,0.012885050848126411,0.2857142984867096,0.7135034203529358,5.171681880950928,0.0,4.814930438995361
26,0.9523809552192688,0.004330710973590612,0.014337782748043537,0.0,0.012172426097095013,0.2857142984867096,0.7636184692382812,5.531823635101318,0.0,5.150014400482178
27,0.9523809552192688,0.00407384242862463,0.009790707379579544,0.0,0.007753786630928516,0.2857142984867096,0.8737765550613403,6.0488104820251465,0.0,5.611922740936279
28,0.9047619104385376,0.02470553293824196,0.017180901020765305,0.0,0.0048281350173056126,0.2857142984867096,0.86716228723526,6.1926445960998535,0.0,5.759063243865967
29,1.0,0.0006578001193702221,0.008212114684283733,0.0,0.007883214391767979,0.2857142984867096,0.932220995426178,6.6031317710876465,0.0,6.137021541595459
30,1.0,0.00015718286158517003,0.001870091655291617,0.0,0.0017915002536028624,0.2857142984867096,0.97346431016922,6.958609580993652,0.0,6.471877574920654
31,0.9523809552192688,0.004072281997650862,0.004311098717153072,0.0,0.0022749577183276415,0.2857142984867096,1.0196961164474487,7.3177714347839355,0.0,6.807923316955566
