epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5622.17,1.98477,1.22775,1.363,0.77066,0.75,0.75362,0.27498,2.08827,1.40246,1.47818,0.0005941,0.0005941,0.0005941
43,5651.92,1.9404,1.19642,1.34272,0.77066,0.75,0.75362,0.27498,2.08827,1.40246,1.47818,0.0005842,0.0005842,0.0005842
44,5684.39,1.97876,1.21375,1.35166,0.78983,0.73611,0.77391,0.27651,2.1284,1.42193,1.48682,0.0005743,0.0005743,0.0005743
45,5714.88,1.94843,1.22484,1.39014,0.79124,0.72222,0.77965,0.26376,2.14671,1.43751,1.50399,0.0005644,0.0005644,0.0005644
46,5743.38,1.92188,1.19418,1.36431,0.70668,0.75,0.76815,0.27436,2.14611,1.43419,1.50749,0.0005545,0.0005545,0.0005545
47,5775.19,1.93147,1.21624,1.36341,0.70668,0.75,0.76815,0.27436,2.14611,1.43419,1.50749,0.0005446,0.0005446,0.0005446
48,5816.52,1.91135,1.24783,1.37184,0.7272,0.75,0.75842,0.28046,2.14073,1.40864,1.50077,0.0005347,0.0005347,0.0005347
49,5881.57,1.92717,1.19981,1.35229,0.72112,0.73611,0.73469,0.27088,2.14222,1.41206,1.48938,0.0005248,0.0005248,0.0005248
50,5920.17,1.93451,1.20989,1.35042,0.71931,0.75,0.7438,0.26366,2.16829,1.43103,1.49704,0.0005149,0.0005149,0.0005149
51,26539.1,1.93919,1.23371,1.37255,0.71931,0.75,0.7438,0.26366,2.16829,1.43103,1.49704,0.000505,0.000505,0.000505
52,26596.2,1.9859,1.24121,1.35198,0.71277,0.72222,0.73885,0.2658,2.19585,1.41488,1.50956,0.0004951,0.0004951,0.0004951
53,26642.8,1.91933,1.21572,1.35528,0.73305,0.72468,0.74272,0.27838,2.17629,1.41296,1.50721,0.0004852,0.0004852,0.0004852
54,26684.7,1.89416,1.20732,1.36017,0.71017,0.77778,0.7671,0.27985,2.16079,1.3972,1.50108,0.0004753,0.0004753,0.0004753
55,26725.4,1.90348,1.21368,1.31034,0.71017,0.77778,0.7671,0.27985,2.16079,1.3972,1.50108,0.0004654,0.0004654,0.0004654
56,26766.4,1.96436,1.22276,1.35989,0.68922,0.73925,0.75301,0.28015,2.16552,1.37799,1.49525,0.0004555,0.0004555,0.0004555
57,26802.6,1.89554,1.18453,1.31099,0.772,0.69444,0.77338,0.27148,2.18253,1.36469,1.50009,0.0004456,0.0004456,0.0004456
58,26837.9,1.92274,1.22106,1.38207,0.79477,0.68056,0.77424,0.27177,2.20241,1.34928,1.51695,0.0004357,0.0004357,0.0004357
59,26872.5,1.93462,1.1889,1.31748,0.79477,0.68056,0.77424,0.27177,2.20241,1.34928,1.51695,0.0004258,0.0004258,0.0004258
60,26999.1,1.90829,1.21208,1.34618,0.81658,0.68016,0.76842,0.26701,2.21447,1.32364,1.5229,0.0004159,0.0004159,0.0004159
61,27040.5,1.8899,1.1542,1.30967,0.75209,0.72222,0.75245,0.26786,2.21546,1.30797,1.52525,0.000406,0.000406,0.000406
