epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6454.72,1.42856,0.8819,1.2956,0.92891,0.8832,0.94494,0.53816,1.44964,0.86576,1.28203,0.0005941,0.0005941,0.0005941
43,6515.53,1.47251,0.93987,1.33885,0.92424,0.8669,0.93643,0.5322,1.46597,0.85707,1.2937,0.0005842,0.0005842,0.0005842
44,10467.8,1.42648,0.88473,1.27652,0.91871,0.87348,0.94345,0.56441,1.37031,0.82578,1.28373,0.0005743,0.0005743,0.0005743
45,10803.5,1.44053,0.9106,1.33105,0.91625,0.87348,0.94573,0.55842,1.37778,0.81681,1.28205,0.0005644,0.0005644,0.0005644
46,11191.1,1.45649,0.91246,1.30268,0.92759,0.88042,0.94865,0.56022,1.38804,0.8143,1.28175,0.0005545,0.0005545,0.0005545
47,11570.6,1.43618,0.889,1.28959,0.9282,0.87385,0.94808,0.56671,1.37831,0.80028,1.28357,0.0005446,0.0005446,0.0005446
48,11758.4,1.47107,0.91821,1.30862,0.91836,0.8773,0.94525,0.57188,1.37106,0.79725,1.27448,0.0005347,0.0005347,0.0005347
49,11893.3,1.42558,0.88195,1.29888,0.91949,0.87695,0.93972,0.56705,1.35913,0.81251,1.26249,0.0005248,0.0005248,0.0005248
50,12091.9,1.41689,0.88039,1.31319,0.92173,0.87765,0.94164,0.57085,1.35399,0.80279,1.25645,0.0005149,0.0005149,0.0005149
51,12222.6,1.38036,0.87003,1.28524,0.93604,0.86655,0.94387,0.5674,1.40481,0.81901,1.27688,0.000505,0.000505,0.000505
52,12359.6,1.39093,0.84477,1.26025,0.94933,0.87667,0.94511,0.55458,1.43903,0.81118,1.28578,0.0004951,0.0004951,0.0004951
53,12809.7,1.39169,0.84474,1.28588,0.94639,0.87868,0.95068,0.58013,1.35434,0.78647,1.25283,0.0004852,0.0004852,0.0004852
54,13321.5,1.40834,0.83875,1.2785,0.94187,0.88388,0.94969,0.57735,1.36123,0.78953,1.25768,0.0004753,0.0004753,0.0004753
55,13438.5,1.39448,0.87463,1.29412,0.95486,0.88042,0.95218,0.58402,1.32441,0.76809,1.25497,0.0004654,0.0004654,0.0004654
56,13564.1,1.38983,0.84343,1.28259,0.9471,0.87002,0.94176,0.58594,1.32307,0.77775,1.2453,0.0004555,0.0004555,0.0004555
57,13664.6,1.39014,0.82329,1.26357,0.95007,0.84575,0.93787,0.57741,1.33092,0.79101,1.24709,0.0004456,0.0004456,0.0004456
58,13952.2,1.39265,0.8262,1.28014,0.92535,0.84922,0.92528,0.5589,1.35495,0.81111,1.26155,0.0004357,0.0004357,0.0004357
59,14344.8,1.40684,0.84509,1.2752,0.93856,0.85442,0.9302,0.55916,1.38896,0.82542,1.25349,0.0004258,0.0004258,0.0004258
60,14531.3,1.39283,0.83382,1.25868,0.93916,0.85095,0.92772,0.55303,1.38406,0.83254,1.25839,0.0004159,0.0004159,0.0004159
61,14681.6,1.38279,0.8432,1.27209,0.95388,0.82437,0.92168,0.54855,1.36254,0.81981,1.27283,0.000406,0.000406,0.000406
62,14809.3,1.42644,0.83003,1.26246,0.95291,0.85962,0.93358,0.55091,1.35726,0.80905,1.26703,0.0003961,0.0003961,0.0003961
63,14936.1,1.41081,0.84918,1.28029,0.94384,0.84749,0.92961,0.56229,1.34199,0.80454,1.25041,0.0003862,0.0003862,0.0003862
64,15059.9,1.41857,0.86857,1.28777,0.94282,0.82879,0.92681,0.5558,1.35141,0.81003,1.25574,0.0003763,0.0003763,0.0003763
65,15184.3,1.36681,0.81702,1.24601,0.93639,0.85095,0.93403,0.57009,1.324,0.79836,1.24009,0.0003664,0.0003664,0.0003664
66,15303.1,1.39864,0.8427,1.28431,0.93407,0.85933,0.9295,0.5681,1.34806,0.79705,1.25094,0.0003565,0.0003565,0.0003565
67,15438.5,1.36706,0.82691,1.26698,0.93886,0.84749,0.92708,0.56896,1.33456,0.79909,1.24624,0.0003466,0.0003466,0.0003466
68,15545.1,1.38392,0.82808,1.28147,0.93753,0.84402,0.93002,0.57157,1.32313,0.78975,1.25038,0.0003367,0.0003367,0.0003367
69,15648.4,1.30641,0.81905,1.23247,0.93237,0.85269,0.93543,0.57178,1.34187,0.77543,1.24846,0.0003268,0.0003268,0.0003268
70,15755.7,1.34538,0.8256,1.25896,0.92635,0.86828,0.94244,0.5767,1.34413,0.75598,1.24734,0.0003169,0.0003169,0.0003169
71,15859.4,1.36114,0.80783,1.2604,0.93633,0.86655,0.94272,0.57726,1.35166,0.75076,1.25108,0.000307,0.000307,0.000307
72,15964.9,1.32877,0.80038,1.23204,0.92533,0.88061,0.9442,0.57704,1.35591,0.7668,1.24999,0.0002971,0.0002971,0.0002971
73,16069.4,1.31801,0.80292,1.23586,0.92891,0.87868,0.93889,0.57985,1.33718,0.76969,1.2428,0.0002872,0.0002872,0.0002872
74,16172.6,1.3201,0.79609,1.22299,0.94305,0.87522,0.94364,0.5839,1.32151,0.76405,1.23879,0.0002773,0.0002773,0.0002773
75,16302.3,1.31686,0.78313,1.22713,0.94685,0.87695,0.94346,0.58412,1.31763,0.75348,1.24757,0.0002674,0.0002674,0.0002674
76,16412.1,1.33822,0.79477,1.27802,0.95479,0.87175,0.94623,0.58616,1.31111,0.75129,1.24155,0.0002575,0.0002575,0.0002575
77,16518,1.32987,0.78113,1.23243,0.94105,0.88534,0.94576,0.58248,1.32974,0.74756,1.24197,0.0002476,0.0002476,0.0002476
78,16629.3,1.28155,0.76506,1.20426,0.94225,0.87348,0.94624,0.58303,1.32583,0.73461,1.24658,0.0002377,0.0002377,0.0002377
79,16739.3,1.3198,0.77266,1.23554,0.94988,0.85789,0.94415,0.5658,1.3532,0.73456,1.26571,0.0002278,0.0002278,0.0002278
80,16846,1.34809,0.79027,1.23794,0.95322,0.87348,0.94652,0.57013,1.35225,0.72377,1.25847,0.0002179,0.0002179,0.0002179
81,16948.9,1.29527,0.76283,1.228,0.96593,0.88562,0.9485,0.57496,1.33738,0.72302,1.25076,0.000208,0.000208,0.000208
82,17059.6,1.30641,0.75468,1.20384,0.96776,0.8845,0.95406,0.57899,1.33102,0.72677,1.24787,0.0001981,0.0001981,0.0001981
83,17196.4,1.30054,0.77831,1.23724,0.96223,0.88305,0.95048,0.57455,1.33305,0.72435,1.2564,0.0001882,0.0001882,0.0001882
84,17301.1,1.27932,0.74333,1.17412,0.96053,0.88908,0.95184,0.57851,1.32276,0.71604,1.25032,0.0001783,0.0001783,0.0001783
85,17409.7,1.35797,0.79724,1.27011,0.95701,0.88736,0.95677,0.58334,1.31942,0.71339,1.24605,0.0001684,0.0001684,0.0001684
86,17520.9,1.31411,0.78984,1.26659,0.94188,0.89877,0.95751,0.58016,1.32451,0.71082,1.25051,0.0001585,0.0001585,0.0001585
87,17634.4,1.24273,0.7364,1.19911,0.94008,0.88562,0.95327,0.58157,1.31286,0.71782,1.2473,0.0001486,0.0001486,0.0001486
88,17737.5,1.3098,0.79038,1.24837,0.94579,0.90709,0.95669,0.5849,1.3157,0.71277,1.24479,0.0001387,0.0001387,0.0001387
89,17846.4,1.30945,0.7742,1.2452,0.93895,0.90625,0.95519,0.58289,1.3223,0.71613,1.24198,0.0001288,0.0001288,0.0001288
90,17957,1.34308,0.78745,1.25883,0.94023,0.89973,0.95534,0.58577,1.32608,0.7098,1.23923,0.0001189,0.0001189,0.0001189
91,18068.8,1.24836,0.77518,1.24839,0.94969,0.89081,0.95526,0.58478,1.31771,0.70754,1.23852,0.000109,0.000109,0.000109
92,18175.2,1.24103,0.76976,1.25019,0.94307,0.89002,0.95534,0.58729,1.3178,0.71361,1.2407,9.91e-05,9.91e-05,9.91e-05
93,18286.3,1.25237,0.77174,1.24507,0.93906,0.88136,0.95257,0.58429,1.31634,0.72814,1.24454,8.92e-05,8.92e-05,8.92e-05
94,18397.2,1.24624,0.77133,1.23842,0.93331,0.87695,0.947,0.57516,1.32924,0.7321,1.25354,7.93e-05,7.93e-05,7.93e-05
95,18495.9,1.21756,0.74175,1.23011,0.9254,0.88215,0.94438,0.5727,1.33236,0.73916,1.25492,6.94e-05,6.94e-05,6.94e-05
96,18595.4,1.25269,0.78019,1.24759,0.93033,0.87695,0.94494,0.57313,1.32944,0.74187,1.25204,5.95e-05,5.95e-05,5.95e-05
97,18703.1,1.24488,0.77864,1.24061,0.94098,0.85615,0.9357,0.56722,1.33538,0.76497,1.25501,4.96e-05,4.96e-05,4.96e-05
98,18808.3,1.22625,0.74512,1.24101,0.92927,0.86526,0.93593,0.5684,1.33125,0.76343,1.25237,3.97e-05,3.97e-05,3.97e-05
99,18910.3,1.22965,0.74454,1.22604,0.93438,0.87002,0.93843,0.57319,1.32912,0.76665,1.24953,2.98e-05,2.98e-05,2.98e-05
100,19016.7,1.22659,0.74275,1.24732,0.93828,0.87175,0.94218,0.57737,1.32386,0.75325,1.24506,1.99e-05,1.99e-05,1.99e-05
